id,rec_price_m,price,city,lat,lon,bathrooms,height,state,type,year,floor,max_floor,area,views
1006473053,938520,46500000,Алматы,43.261426,76.904421,1,2.7,свежий ремонт,монолитный,2025,3,17,5,233
1003341240,933800,145000000,Астана,51.107683062218,71.432598222435,2,2,свежий ремонт,монолитный,2023,7,8,140,42
1011432262,611540,32500000,Астана,51.090358,71.454711,1,2.7,свежий ремонт,панельный,2018,14,17,6,25
1004412178,693100,18000000,Алматы,43.213914774889,76.789336410704,1,2.7,черновая отделка,монолитный,2025,9,9,4,104
1010840347,731230,44000000,Алматы,43.24331255684,76.875931342729,2,2.8,"не новый, но аккуратный ремонт",монолитный,2012,15,18,78,170
1010158900,500640,32595000,Костанай,53.241354991976,63.605569421951,1,2,черновая отделка,кирпичный,2025,3,9,5,522
1011224962,360710,11200000,Усть-Каменогорск,50.010163,82.570365,1,2.5,свежий ремонт Санузел раздельный,кирпичный,1982,2,5,36,281
1002422516,398160,21000000,Атырау,47.118593192405,51.866220548468,1,2,черновая отделка,кирпичный,2011,1,5,70,1376
1011211558,713900,42500000,Алматы,43.212983005721,76.789872853817,1,2.7,черновая отделка,монолитный,2019,8,9,76,28
1011435296,649270,26000000,Астана,51.133619714472,71.378499075034,1,2,черновая отделка,монолитный,2020,9,12,40,0
1011409551,644640,26700000,Алматы,43.209103933665,76.86342635352,1,2.7,"не новый, но аккуратный ремонт Санузел совмещенный",панельный,1972,4,4,7,138
1008635973,628770,34500000,Астана,51.090265365922,71.449807622389,1,2.7,черновая отделка,панельный,2020,2,16,50,93
1011165380,903580,86000000,Алматы,43.230184754178,76.875990545467,1,2.85,"не новый, но аккуратный ремонт",монолитный,2020,4,16,96,323
1008231311,501990,24000000,Алматы,43.314397296971,76.908938490869,1,2,черновая отделка,монолитный,2025,3,6,3,153
1011266026,944140,109000000,Алматы,43.203162215681,76.871812188974,2,2.8,"не новый, но аккуратный ремонт",монолитный,2015,7,12,8,42
760098523,926580,65000000,Алматы,43.206632334711,76.884845495224,1,2.95,"не новый, но аккуратный ремонт",монолитный,2015,9,18,8,133
689794975,682640,37900000,Алматы,43.329190252207,76.939827966339,1,2.7,свежий ремонт,монолитный,2021,2,10,70,91
1011435254,408010,21000000,Актобе,50.284758,57.139958,1,2,свежий ремонт Санузел раздельный,кирпичный,2026,8,9,46,0
687932949,526550,33999000,Алматы,43.245753,76.816934,1,2.55,свежий ремонт Санузел совмещенный,монолитный,2010,6,9,5,162
674562280,553130,30000000,Алматы,43.311931,76.901942,1,2.8,требует ремонта Санузел раздельный,кирпичный,1976,1,3,5,250
1011010247,592480,27500000,Астанапоказать на карте,51.1290047041,71.494800489409,1,2.8,"не новый, но аккуратный ремонт",монолитный,2015,12,13,45,94
